module_code,module_name,Old ID,question_code,sort,subject_id,module_code,reason,kind,content,REFERENCE,response_1,target_1,response_2,target_2,response_3,target_3,return_node,target_module,return,decision_node,meets_response,boolean,conclusion_1,conclusion_2,examples,asc,faq,help,report_summary,summary,report_content,response_fatal,target_fatal
10,equity_linked_contracts,72,10-11,11,1,10,Derivative Scope Exceptions,q,Is the contract a forward contract that requires settlement by the company's delivery of cash in exchange for the purchase of a fixed number of its equity shares?,,Yes,10-11,No,10-12,,,,,,,,,,,,,,,,,Is the contract a forward contract that requires settlement by the company's delivery of cash in exchange for the purchase of a fixed number of its equity shares?,,
10,equity_linked_contracts,73,10-11,11,1,10,Derivative Scope Exceptions,q,Is the amount to be paid fixed or can the amount and/or settlement date vary?,,Fixed,10-25,Amount and/or settlement date varies,10-26,,,,,,,,,,,,,,,,,Is the amount to be paid fixed or can the amount and/or settlement date vary?,,
10,equity_linked_contracts,,10-12,12,1,10,Derivatives,q,Does the contract meet the accounting definition of a derivative?,,Yes,10-13,No,10-15,Analyze,13-4,10-12,13,,,,,,,,,,,,,Does the contract meet the accounting definition of a derivative?,,
10,equity_linked_contracts,,10-13,13,1,10,Derivative Scope Exceptions,q,Is the instrument indexed to the company's own stock?,,Yes,10-14,No,10-27,Analyze,25-4,10-13,25,,,,,,,,,,,,,Is the instrument indexed to the company's own stock?,,
10,equity_linked_contracts,,10-14,14,1,10,Derivative Scope Exceptions,q,Does the contract meet all conditions necessary for equity classification?,,Yes,10-29,No,10-28,Analyze,26-3,10-14,26,,,,,,,,,,,,,Does the contract meet all conditions necessary for equity classification?,,
10,equity_linked_contracts,,10-15,15,1,10,Non-Derivative Fair Value Accounting,q,Is the instrument indexed to the company's own stock?,,Yes,10-16,No,10-19,Analyze,25-4,10-15,25,,,,,,,,,,,,,Is the instrument indexed to the company's own stock?,,
10,equity_linked_contracts,,10-16,16,1,10,Non-Derivative Fair Value Accounting,q,Does the contract meet all conditions necessary for equity classification?,,Yes,10-21,No,10-20,Analyze,26-3,10-16,26,,,,,,,,,,,,,Does the contract meet all conditions necessary for equity classification?,,
10,equity_linked_contracts,162,10-17,17,1,10,Derivative Hedging,q,Does hedge accounting apply?,,Yes,10-30,No,10-31,,,,,,,,,,,,,,,,Based on your previous answers an all intermediate conclusions| this instrument 1) is not considered indexed to the entity|'s own stock| 2) does not meet the criteria for equity classification| or 3) both| and is therefore subject to derivative accounting. There are two primary methods applicable to derivative accounting: hedge accounting and non-hedge accounting. While it is possible for an instrument indexed to the company|'s own stock to be a hedge| the criteria for hedge accounting are stringent| and must be met and formally documented PRIOR to entering into the hedging arrangement.,Does hedge accounting apply?,,
10,equity_linked_contracts,,10-18,18,1,10,,r,The lease contract should be accounted for under ASC 840| Leases. The equity-linked component should be evaluated separately as an embedded feature that may require bifurcation from the lease host. Create a new GAAP Logic project for the equity-linked component (separate and apart from the lease host contract) and evaluate that independently.,,,,,,,,,,,,,,,,,,,,,,,,
10,equity_linked_contracts,,10-19,19,1,10,,r,A non-derivative contract that is linked to the company's own stock but that is not considered to be indexed to the company's own stock may not be classified in equity. Rather| the contract must be classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the contract meets the conditions necessary to be considered indexed to the company's own stock should be subsequently evaluated.,,,,,,,,,,,,,,,,,,,,,,A non-derivative contract that is linked to the company's own stock but that is not considered to be indexed to the company's own stock may not be classified in equity. Rather| the contract must be classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the contract meets the conditions necessary to be considered indexed to the company's own stock should be subsequently evaluated.,,
10,equity_linked_contracts,,10-20,20,1,10,,r,A non-derivative contract that is linked to the company's own stock but that does not meet all conditions for equity classification must be classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the contract meets the conditions necessary for equity classification should be subsequently evaluated.,,,,,,,,,,,,,,,,,,,,,,A non-derivative contract that is linked to the company's own stock but that does not meet all conditions for equity classification must be classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the contract meets the conditions necessary for equity classification should be subsequently evaluated.,,
10,equity_linked_contracts,,10-21,21,1,10,,r,Since the non-derivative contract is both indexed to the comapny's own stock and meets the conditions necessary for equity classification| the contract should be classifed in equity and recorded at transaction value as of the date of closing. The requirements for the contract to be considered indexed to the company's own stock and to be classified in equity should be subsequently evaluated.,,,,,,,,,,,,,,,,,,,,,,Since the non-derivative contract is both indexed to the comapny's own stock and meets the conditions necessary for equity classification| the contract should be classifed in equity and recorded at transaction value as of the date of closing. The requirements for the contract to be considered indexed to the company's own stock and to be classified in equity should be subsequently evaluated.,,
10,equity_linked_contracts,,10-22,22,1,10,,r,The contract to enter into a business combination at a future date is not subject to accounting as a derivative under ASC 815-20. A more thorough treatment of business combinations will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,The contract to enter into a business combination at a future date is not subject to accounting as a derivative under ASC 815-20. A more thorough treatment of business combinations will be undertaken by GAAP Logic in a future project.,,
10,equity_linked_contracts,,10-23,23,1,10,,r,The contract to enter into an acquisition by a nonprofit organization at a future date is not subject to accounting as a derivative under ASC 815-20. A more through treatment of business combinations will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,The contract to enter into an acquisition by a nonprofit organization at a future date is not subject to accounting as a derivative under ASC 815-20. A more through treatment of business combinations will be undertaken by GAAP Logic in a future project.,,
10,equity_linked_contracts,,10-24,24,1,10,,r,The contract to enter into a merger by a nonprofit organizations at a future date is not subject to accounting as a derivative under ASC 815-20.  A more through treatment of business combinations will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,The contract to enter into a merger by a nonprofit organizations at a future date is not subject to accounting as a derivative under ASC 815-20.  A more through treatment of business combinations will be undertaken by GAAP Logic in a future project.,,
10,equity_linked_contracts,,10-25,25,1,10,,r,Account for the contract in accordance with ASC 480­-10-­30-­3 through 30­-5| 480-­10-­35-­3| and 480-­10-­45-­3. A more through treatment of ASC 480 will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,Account for the contract in accordance with ASC 480­-10-­30-­3 through 30­-5| 480-­10-­35-­3| and 480-­10-­45-­3. A more through treatment of ASC 480 will be undertaken by GAAP Logic in a future project.,,
10,equity_linked_contracts,,10-26,26,1,10,,r,Account for the contract in accordance with ASC 480­-10-­30-­3 through 30-­5| 480­-10-­35-­3| and 480-­10-­45-­3. A more through treatment of ASC 480 will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,Account for the contract in accordance with ASC 480­-10-­30-­3 through 30-­5| 480­-10-­35-­3| and 480-­10-­45-­3. A more through treatment of ASC 480 will be undertaken by GAAP Logic in a future project.,,
10,equity_linked_contracts,,10-27,27,1,10,,r,A derivative instrument that is linked to the company's own stock but that is not considered to be indexed to the company's own stock may not be classified in equity. Rather| the contract must be classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the contract meets the conditions necessary to be considered indexed to the company's own stock should be subsequently evaluated.,,,,,,,,,,,,,,,,,,,,,,A derivative instrument that is linked to the company's own stock but that is not considered to be indexed to the company's own stock may not be classified in equity. Rather| the contract must be classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the contract meets the conditions necessary to be considered indexed to the company's own stock should be subsequently evaluated.,,
10,equity_linked_contracts,,10-28,28,1,10,,r,A derivative instrument that is linked to the company's own stock but that does not meet all conditions for equity classification must be classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the contract meets the conditions necessary for equity classification should be subsequently evaluated.,,,,,,,,,,,,,,,,,,,,,,A derivative instrument that is linked to the company's own stock but that does not meet all conditions for equity classification must be classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the contract meets the conditions necessary for equity classification should be subsequently evaluated.,,
10,equity_linked_contracts,,10-29,29,1,10,,r,Since the derivative instrument is both indexed to the company's own stock and meets the conditions necessary for equity classification| the contract should be classifed in equity and recorded at transaction value as of the date of closing. The requirements for the contract to be considered indexed to the company's own stock and to be classified in equity should be subsequently evaluated.,,,,,,,,,,,,,,,,,,,,,,Since the derivative instrument is both indexed to the company's own stock and meets the conditions necessary for equity classification| the contract should be classifed in equity and recorded at transaction value as of the date of closing. The requirements for the contract to be considered indexed to the company's own stock and to be classified in equity should be subsequently evaluated.,,
10,equity_linked_contracts,,10-30,30,1,10,,r,Apply hedge accounting in accordance with ASC 815. A more through treatment of hedge accounting will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,Apply hedge accounting in accordance with ASC 815. A more through treatment of hedge accounting will be undertaken by GAAP Logic in a future project.,,
10,equity_linked_contracts,,10-31,31,1,10,,r,Account for the contract as a freestanding derivative in accordance with ASC 815-20 recorded intially at fair value and subsequently remeasured at fair value. Any changes in fair value should be recoognized as gain or loss in income.,,,,,,,,,,,,,,,,,,,,,,Account for the contract as a freestanding derivative in accordance with ASC 815-20 recorded intially at fair value and subsequently remeasured at fair value. Any changes in fair value should be recoognized as gain or loss in income.,,
11,equity_linked_contracts_embedded,,11-1,1,10,11,,i,An equity-linked provision in a contract that is not considered separable from the host may fall under one of several areas of GAAP| including embedded derivative accounting.,,Continue,11-3,,,,,,,,,,,,,,,,,,There are numerous areas in the Codification that cover the accounting for equity-linked transactions. These include| among others| ASC 718| ASC 505-15 and ASC 815. As a result| a significant part of this module is devoted to determining the appropriate accounting scope for the contract. Additionally| the ultimate accounting recommendation may depend upon certain elections available to the company| including the fair value option for financial instruments| the fair value option for hybrid financial instruments| and the potential availability of hedge accounting for a derivative. This module travels methodically through the accounting guidance to help you get to the right answer. You may refer to the Help| FAQ and Example content associated with each node for additional information to help you answer each question. If you become stuck on a question| please create a new Issue and reference the specific Node ID. We of course can|t anticiapte every possible  situation when we write the content for each node; however| we will add content to address your situation| and likely someone else's| when appropriate.,Equity-linked transactions info node,,
11,equity_linked_contracts_embedded,,11-2,2,10,11,,i,An equity-linked provision in a contract that is not considered separable from the host may fall under one of several areas of GAAP| including embedded derivative accounting.,,Continue,11-3,,,,,,,,,,,,,,,,,,,,,
11,equity_linked_contracts_embedded,163,11-3,3,10,11,Conventional Convertible Debt,q,Is the host contract of the embedded feature being evaluated considered conventional convertible debt?,815-40-25-39,Yes,11-13,No,11-4,Analyze,17-2,11-3,17,,,,,,,,,,,,,Is the host contract of the embedded feature being evaluated considered conventional convertible debt?,,
11,equity_linked_contracts_embedded,,11-4,4,10,11,Embedded Derivatives,q,Does the embedded feature meet the accounting definition of a derivative?,,Yes,11-5,No,11-9,Analyze,19-4,11-4,19,,,,,,,,,,,,,Does the embedded feature meet the accounting definition of a derivative?,,
11,equity_linked_contracts_embedded,,11-5,5,10,11,Embedded Derivative Exceptions,q,Are the economic risks and characteristics of the embedded feature clearly and closely related to the economic risks and characteristics of the host contract?,,Yes,11-9,No,11-6,,,,,,,,,,,,,,,,,Are the economic risks and characteristics of the embedded feature clearly and closely related to the economic risks and characteristics of the host contract?,,
11,equity_linked_contracts_embedded,,11-6,6,10,11,Non-Derivative Fair Value Accounting,q,Is the embedded derivative feature considered indexed to the company's own stock?,,Yes,11-7,No,11-18,Analyze,25-3,11-6,25,,,,,,,,,,,,,Is the embedded derivative feature considered indexed to the company's own stock?,,
11,equity_linked_contracts_embedded,,11-7,7,10,11,Non-Derivative Fair Value Accounting,q,Does the embedded feature meet all conditions required for equity classification?,,Yes,11-20,No,11-8,Analyze,26-3,11-7,26,,,,,,,,,,,,,Does the embedded feature meet all conditions required for equity classification?,,
11,equity_linked_contracts_embedded,,11-8,8,10,11,,q,Will the entire host contract be accounted for as a hybrid due to the inability to determine the fair value of one or embedded features?,,Yes,11-21,No,11-16,,,,,,,,,,,,,,,,,Will the entire host contract be accounted for as a hybrid due to the inability to determine the fair value of one or embedded features?,,
11,equity_linked_contracts_embedded,,11-9,9,10,11,Embedded Derivative Exceptions,q,Is the embedded feature a conversion option in a debt-host contract?,,Yes,11-10,No,11-13,,,,,,,,,,,,,,,,,Is the embedded feature a conversion option in a debt-host contract?,,
11,equity_linked_contracts_embedded,,11-10,10,10,11,,q,Is there a beneficial conversion feature as of the date of issuance?,,Yes,11-11,No,11-13,,,,,,,,,,,,,,,,,Is there a beneficial conversion feature as of the date of issuance?,,
11,equity_linked_contracts_embedded,,11-11,11,10,11,,q,Upon conversion may the entire convertible debt instrument be entirely or partially settled in cash or by transfer of some other asset?,,Yes,11-14,No,11-13,,,,,,,,,,,,,,,,,Upon conversion may the entire convertible debt instrument be entirely or partially settled in cash or by transfer of some other asset?,,
11,equity_linked_contracts_embedded,,11-12,12,10,11,,r,The embedded feature does not meet the accounting definition of a derivative. Do no bifurcate the embedded feature for accounting purposes.,,,,,,,,,,,,,,,,,,,,,,The embedded feature does not meet the accounting definition of a derivative. Do no bifurcate the embedded feature for accounting purposes.,,
11,equity_linked_contracts_embedded,,11-13,13,10,11,,r,Account for the instrument as conventional debt. A more thorough treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,Account for the instrument as conventional debt. A more thorough treatment of debt will be undertaken by GAAP Logic in a future project.,,
11,equity_linked_contracts_embedded,,11-14,14,10,11,,r,Account for the liability and equity components separately in accordance with the Cash Conversion subsections ASC 470-20. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,Account for the liability and equity components separately in accordance with the Cash Conversion subsections ASC 470-20. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,
11,equity_linked_contracts_embedded,,11-15,15,10,11,,r,Account for the debt and the beneficial conversion feature separately in accordance with ASC 470-20. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,Account for the debt and the beneficial conversion feature separately in accordance with ASC 470-20. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,
11,equity_linked_contracts_embedded,,11-16,16,10,11,,r,The embedded feature meets the accounting definition of a derivative and must be .,,,,,,,,,,,,,,,,,,,,,,The embedded feature meets the accounting definition of a derivative and must be .,,
11,equity_linked_contracts_embedded,,11-17,17,10,11,,r,Meets definition of a derivative but there are available exceptions,,,,,,,,,,,,,,,,,,,,,,Meets definition of a derivative but there are available exceptions,,
11,equity_linked_contracts_embedded,,11-18,18,10,11,,r,An embedded derivative feature that is linked to the company's own stock but that is not considered to be indexed to the company's own stock may not be classified in equity. Rather| the embedded derivative feature must be bifurcated from the host contract and classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the embedded feature meets the conditions necessary to be considered indexed to the company's own stock should be subsequently evaluated.,,,,,,,,,,,,,,,,,,,,,,An embedded derivative feature that is linked to the company's own stock but that is not considered to be indexed to the company's own stock may not be classified in equity. Rather| the embedded derivative feature must be bifurcated from the host contract and classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the embedded feature meets the conditions necessary to be considered indexed to the company's own stock should be subsequently evaluated.,,
11,equity_linked_contracts_embedded,,11-19,19,10,11,,r,An embedded derivative feature that is linked to the company's own stock but that does not meet all conditions necessary for equity classification must be bifurcated from the host contract and classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the embedded feature meets the conditions necessary for equity classification should be subsequently evaluated.,,,,,,,,,,,,,,,,,,,,,,An embedded derivative feature that is linked to the company's own stock but that does not meet all conditions necessary for equity classification must be bifurcated from the host contract and classified as an asset or liability and must be accounted for at fair value. Under fair value accounting| the contract must be recorded at fair value at inception and all reporting dats thereafter| with any change in fair value recognized as gain or loss. Additionally| whether or not the embedded feature meets the conditions necessary for equity classification should be subsequently evaluated.,,
