module_code,module_name,Old ID,question_code,sort,subject_id,module_code,reason,kind,content,REFERENCE,response_1,target_1,response_2,target_2,response_3,target_3,return_node,target_module,return,decision_node,meets_respons,boolean,conclusion_1,conclusion_2,examples,asc,faq,help,report_summary,summary,,json
,,72,10-11,11,1,10,Derivative Scope Exceptions,q,Is the contract a forward contract that requires settlement by the company's delivery of cash in exchange for the purchase of a fixed number of its equity shares?,,Yes,10-12,No,10-13,,,,,,,,,,,,,,,,,,
,,73,10-12,12,1,10,Derivative Scope Exceptions,q,Is the amount to be paid fixed or can the amount and/or settlement date vary?,,Fixed,10-26,Amount and/or settlement date varies,10-27,,,,,,,,,,,,,,,,,,
,,,10-13,13,1,10,Derivatives,q,Does the contract meet the accounting definition of a derivative?,,Yes,10-14,No,10-14,Analyze,13-1,10-13,13,,,,,,,,,,,,,,
,,,10-14,14,1,10,Derivative Scope Exceptions,q,Is the instrument indexed to the company's own stock?,,Yes,10-21,No,10-22,Analyze,25-1,10-14,25,,10-16,Yes,,,,,,,,,,,
,,,10-15,15,1,10,Derivative Scope Exceptions,q,Classified in equity?,,Yes,10-16,No,10-16,Analyze,26-1,10-15,26,,10-16,Yes,,,,,,,,,,,
,,,10-16,16,1,10,Derivative Scope Exceptions,d,Pass - indexed to own stock,,Pass,10-28,Fail,10-29,,,,,,,Pass,and,,,,,,,,,,
,,,10-17,17,1,10,Non-Derivative Fair Value Accounting,q,Is the instrument indexed to the company's own stock?,,Yes,10-24,No,10-25,Analyze,25-1,10-17,25,,10-19,Yes,,,,,,,,,,,
,,,10-18,18,1,10,Non-Derivative Fair Value Accounting,q,Classified in equity?,,Yes,10-19,No,10-19,Analyze,26-1,10-18,26,,10-19,Yes,,,,,,,,,,,
,,,10-19,19,1,10,Non-Derivative Fair Value Accounting,d,Pass - indexed to own stock,,Pass,10-22,Fail,10-21,,,,,,,Pass,and,,,,,,,,,,
,,162,10-20,20,1,10,Derivative Hedging,q,Does hedge accounting apply?,,Yes,10-30,No,10-31,,,,,,,,,,,,,,,,"Based on your previous answers an all intermediate conclusions, this instrument 1) is not considered indexed to the entity''s own stock, 2) does not meet the criteria for equity classification, or 3) both, and is therefore subject to derivative accounting. There are two primary methods applicable to derivative accounting: hedge accounting and non-hedge accounting. While it is possible for an instrument indexed to the company''s own stock to be a hedge, the criteria for hedge accounting are stringent, and must be met and formally documented PRIOR to entering into the hedging arrangement.",,
,,,10-21,21,1,10,,r,"Nonderivative, not classified in equity or not indexed to own stock",,,,,,,,,,,,,,,,,,,,,,,
,,,10-22,22,1,10,,r,"Nonderivative, classified in equity, indexed to own stock",,,,,,,,,,,,,,,,,,,,,,,
,,,10-23,23,1,10,,r,The contract to enter into a business combination at a future date is not subject to accounting as a derivative under ASC 815-20.  A more through treatment of business combinations will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,10-24,24,1,10,,r,The contract to enter into an acquisition by a nonprofit organization at a future date is not subject to accounting as a derivative under ASC 815-20.  A more through treatment of business combinations will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,10-25,25,1,10,,r,The contract to enter into a merger by a nonprofit organizations at a future date is not subject to accounting as a derivative under ASC 815-20.  A more through treatment of business combinations will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,10-26,26,1,10,,r,"Account for the contract in accordance with ASC 480­10­30­3 through 30­5, 480­10­35­3, and 480­10­45­3. A more through treatment of ASC 480 will be undertaken by GAAP Logic in a future project.",,,,,,,,,,,,,,,,,,,,,,,
,,,10-27,27,1,10,,r,"Account for the contract in accordance with ASC 480­10­30­3 through 30­5, 480­10­35­3, and 480­10­45­3. A more through treatment of ASC 480 will be undertaken by GAAP Logic in a future project.",,,,,,,,,,,,,,,,,,,,,,,
,,,10-28,28,1,10,,r,"Derivative, not classified in equity or not indexed to own stock",,,,,,,,,,,,,,,,,,,,,,,
,,,10-29,29,1,10,,r,"Derivative, classified in equity, indexed to own stock",,,,,,,,,,,,,,,,,,,,,,,
,,,10-30,30,1,10,,r,Apply hedge accounting in accordance with ASC 815. A more through treatment of hedge accounting will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,10-31,31,1,10,,r,Account for the contract as a freestanding derivative in accordance with ASC 815-20 recorded intially at fair value and subsequently remeasured at fair value. Any changes in fair value should be recoognized as gain or loss in income.,,,,,,,,,,,,,,,,,,,,,,,
11,equity_linked_contracts_embedded,163,11-1,1,10,11,Conventional Convertible Debt,q,Is the host contract of the embedded feature being evaluated considered conventional convertible debt?,815-40-25-39,Yes,11-14,No,11-2,Analyze,17-1,11-1,17,,,,,,,,,,,,,,
,,,11-2,2,10,11,Embedded Derivatives,q,Does the contract meet the accounting definition of a derivative?,,Yes,11-3,No,11-10,Analyze,19-1,11-2,19,,,,,,,,,,,,,,
,,,11-3,3,10,11,Embedded Derivative Exceptions,q,Are there exceptions?,,Yes,11-18,No,11-4,Analyze,,,,,,,,,,,,,,,,,
,,,11-4,4,10,11,Embedded Derivative Exceptions,q,Are the economic risks and characteristics of the embedded feature clearly and closely related to the economic risks and characteristics of the host contract?,,Yes,11-10,No,11-5,,,,,,,,,,,,,,,,,,
,,,11-5,5,10,11,Non-Derivative Fair Value Accounting,q,Is the instrument indexed to the company's own stock?,,Yes,11-6,No,11-6,Analyze,26-18,11-5,25,,11-7,Yes,,,,,,,,,,,
,,,11-6,6,10,11,Non-Derivative Fair Value Accounting,q,Classified in equity?,,Yes,11-7,No,11-7,Analyze,,11-6,26,,11-7,Yes,,,,,,,,,,,
,,,11-7,7,10,11,Non-Derivative Fair Value Accounting,d,Pass - indexed to own stock and classified in equity,,Pass,11-20,Fail,11-8,,,,,,,Pass,and,,,,,,,,,,
,,,11-8,8,10,11,,q,Will the entire host contract be accounted for as a hybrid due to the inability to determine the fair value of one or embedded features?,,Yes,11-21,No,11-9,,,,,,,,,,,,,,,,,,
,,,11-9,9,10,11,,q,Have you elected to account for the entire instrument as a hybrid?,,Yes,11-21,No,11-17,,,,,,,,,,,,,,,,,,
,,,11-10,10,10,11,Embedded Derivative Exceptions,q,Is the embedded feature a conversion option in a debt-host contract?,,Yes,11-11,No,11-14,,,,,,,,,,,,,,,,,,
,,,11-11,11,10,11,,q,Is there a beneficial conversion feature as of the date of issuance?,,Yes,11-12,No,11-16,,,,,,,,,,,,,,,,,,
,,,11-12,12,10,11,,q,Upon conversion may the entire convertible debt instrument be entirely or partially settled in cash or by transfer of some other asset?,,Yes,19-17,No,11-14,,,,,,,,,,,,,,,,,,
,,,11-13,13,10,11,,r,The embedded feature does not meet the accounting definition of a derivative. Do no bifurcate the embedded feature for accounting purposes.,,,,,,,,,,,,,,,,,,,,,,,
,,,11-14,14,10,11,,r,Account for the instrument as conventional debt. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,11-15,15,10,11,,r,Account for the liability and equity components separately in accordance with the Cash Conversion subsections ASC 470-20. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,11-16,16,10,11,,r,Account for the debt and the beneficial conversion feature separately in accordance with ASC 470-20. A more through treatment of debt will be undertaken by GAAP Logic in a future project.,,,,,,,,,,,,,,,,,,,,,,,
,,,11-17,17,10,11,,r,The embedded feature meets the accounting definition of a derivative. Bifurcate the embedded feature.,,,,,,,,,,,,,,,,,,,,,,,
,,,11-18,18,10,11,,r,Meets definition of a derivative but there are available exceptions,,,,,,,,,,,,,,,,,,,,,,,
,,,11-19,19,10,11,,r,Meets definition of a derivative but not both indexed to own stock and classified in equity,,,,,,,,,,,,,,,,,,,,,,,
,,,11-20,20,10,11,,r,"Meets definition of a derivative, indexed to own stock, classified in equity",,,,,,,,,,,,,,,,,,,,,,,
,,,11-21,21,10,11,,r,Account for the entire instrument at fair value,,,,,,,,,,,,,,,,,,,,,,,
12,derivative_exceptions_freestanding_equity_linked,55,12-1,1,2,12,Freestanding Derivative Exceptions,q,Is the contract a registration payments arrangement?,,Yes,15-8,No,12-2,Analyze,15-1,12-2,15,,,,,,,,,,,,,,
,,,12-2,2,2,12,Freestanding Derivative Exceptions,q,Is the contract for a business combination at a future date?,,Yes,,No,12-3,,,,,,,,,,,,,,,,,,
,,,12-3,3,2,12,Freestanding Derivative Exceptions,q,Is the contract for an acquisition entered into by a non-for-profit organization?,,Yes,,No,12-4,,,,,,,,,,,,,,,,,,
,,,12-4,4,2,12,Freestanding Derivative Exceptions,q,Is the contract for the merger of two or more not-for-profit organizations?,,Yes,,No,12-5,,,,,,,,,,,,,,,,,,
,,,12-5,5,2,12,Freestanding Derivative Exceptions,q,Is the contract a forward contract that requires settlement by the company's delivery of cash in exchange for the purchase of a fixed number of its equity shares?,,Yes,12-6,No,12-7,,,,,,,,,,,,,,,,,,
,,,12-6,6,2,12,Freestanding Derivative Exceptions,q,Is the amount to be paid fixed or can the amount and/or settlement date vary?,,Fixed,,Amount and/or settlement date varies,,,,,,,,,,,,,,,,,,,
,,,12-7,7,2,12,Freestanding Derivative Exceptions,q,Does the contract meet the accounting definition of a derivative?,,Yes,12-8,No,,Analyze,13-1,12-8,13,,,,,,,,,,,,,,
,,,12-8,8,2,12,Freestanding Derivative Exceptions,q,Does hedge accounting apply?,,Yes,,No,,,,,,,,,,,,,,,,,,,
,,,12-9,9,2,12,Freestanding Derivative Exceptions,q,Is the host contract of the embedded feature being evaluated considered conventional convertible debt?,815-40-25-39,Yes,,No,,Analyze,17-1,12-10,17,,,,,,,,,,,,,,
,,,12-10,10,2,12,Freestanding Derivative Exceptions,q,Does the conversion feature meet the accounting definition of a derivative?,,Yes,,No,,Analyze,19-1,12-11,19,,,,,,,,,,,,,,
,,,12-11,11,2,12,Freestanding Derivative Exceptions,q,Is the embedded feature a conversion option in a debt-host contract?,,Yes,12-12,No,,,,,,,,,,,,,,,,,,,
,,,12-12,12,2,12,Freestanding Derivative Exceptions,q,Is there a beneficial conversion feature as of the date of issuance?,,Yes,12-13,No,,,,,,,,,,,,,,,,,,,
,,,12-13,13,2,12,Freestanding Derivative Exceptions,q,Upon conversion may the entire convertible debt instrument be entirely or partially settled in cash or by transfer of some other asset?,,Yes,,No,,,,,,,,,,,,,,,,,,,
,,,12-14,14,2,12,Freestanding Derivative Exceptions,r,"The lease contract should be accounted for under ASC 840, Leases. A more thorough treatment of ASC 840 will be undertaken by GAAP Logic in a future project. It is not uncommon, however, for a lease to contain one or more provisions that meet the accounting definition of a derivitive and require separate accounting as an embedded derivative. Since the lease is linked to the company's equity, those provisions should be specifically evaluated as an embedded derivative feature.",,,,,,,,,,,,,,,,,,,,,,,
,,,12-15,15,2,12,Freestanding Derivative Exceptions,r,"Stock compensation paid to an employee should be accounted for in accordance eith ASC 718, Compensation--Stock Compensation",,,,,,,,,,,,,,,,,,,,,,,
,,,12-16,16,2,12,Freestanding Derivative Exceptions,r,"Stock compensation paid to a nonemployee for goods and/or services becomes subject to evauluation under ASC 815-10 once performance has occurred. Since the equity-linked contract meets the accounting definition of a derivative, the contract should be accounted for as a freestanding derivative initially recorded at fair value and subsequently remeasured at fair value. Any changes in fair value should be recoognized as gain or loss in income.",,,,,,,,,,,,,,,,,,,,,,,
,,,12-17,17,2,12,Freestanding Derivative Exceptions,r,"Stock compensation paid to a nonemployee for goods and/or services becomes subject to evauluation under ASC 815-10 once performance has occurred. However, since the equity-linked contract does not meet the accounting definition of a derivative, the contract should be recorded at fair value in accordance with ASC 505-50 and should not be subsequently remeasured.",,,,,,,,,,,,,,,,,,,,,,,
,,,12-18,18,2,12,Freestanding Derivative Exceptions,r,"Stock compensation paid to a nonemployee for which the products and/or services have not been provided should be accounted for in accordance with ASC 505-50, Equity-Based Payments to Nonemployees.",,,,,,,,,,,,,,,,,,,,,,,
13,definition_freestanding,8,13-1,1,7,13,Freestanding Derivative Definition,q,"Is there 1) one or more underlyings, and 2) a notional amount, a payment provision, or both?",,Yes,13-8,No,13-8,Analyze,13-2,,,,13-48,No,,,,,"ASC 815-10-15-88&lt: Definition of an underlying with several examples provided.\n\nASC 815-10-15-89: Includes in the definition of an underlying ""...any variable whose changes are observable or otherwise objectively verifiable. An underlying may be a price or rate of an asset or liability but is not the asset or liability itself.""\n\nASC 815-10-15-93: Defines a notional as a quantity of some unit of measure, which can be currency units (dollars, pounds, euros, rubles, etc.), shares of stock, bushels, barrels or any other unit specified in the contract.\n\nThe settlement amount of a derivative is based on the interaction of the underlying with the notional. This interaction may be simple multiplication, or there may be a leverage factor or other constant(s). In the case of leverage or other constant factor, the actual notional amount is the stated notional amount as adjusted for such leverage or other constant factor.\n\nSee paragraphs 815-10-55-5 through 55-7 for related implementation guidance.","1) Does there have to be an underlying?\n\nYes. The underlying provides the variability needed for the agreement to be behave like a derivative. Variability is one of the key characteristics of a derivative. Without an underlying, there is no mechanism for triggering a change in the economic value of the contract to parties.\n\n2) Does there have to be a notional amount?\n\nNo. The notional merely serves as a factor in computing the settlement amount. The payment amount can, however, be a fixed amount or an amount determined without reference to a notional. The ASC definition states that there must be EITHER a notional OR a payment amount. If the contract has neither, then it does not meet the accounting definition of a derivative.\n\n3) Is the underlying always a market index or some other financial measurement?\n\nNo. The underlying can be anything that is observable or objectively verifiable. Market indexes, such as stock market averages, commodity prices and interest rates, are the most common form of underlying. However, if it can be observed or verified, it can be an underlying. The accounting standards mention credit ratings and credit indexes, insurance indexes, loss indexes, and climatic and geological conditions (earthquakes, hurricanes, snowfall, rainfall, etc.). An underlying can also be the occurrence of nonoccurrence of an event specified in the contract such as a scheduled payment, or contractual obligation or covenant. This last type of underlying is known as an 'on-off' switched and usually triggers a payment. The most common example of this is a loan default provision that triggers either a fixed payment (e.g., penalty) or an increase in contract interest rate. As you can see, the term underlying is used very broadly.","In a derivative instrument, the 'underlying' and the 'notional amount' combine to determine the settlement amount of the instrument, that is the amount that one party will have to pay the other party in cash, stock or other consideration. The underlying is generally a referenced rate, index or measurable event. The notional amount may be a number of units (bushels or pounds for example), a number shares, a specified fixed dollar amount or some other unit of measure specified in the instrument. Typically, the settlement amount is determined by simply multiplying the underlying by the notional amount. For example, in the cashless settlement of a warrant, the settlement amount is determined by multiplying the number of shares (the notional amount) by the difference between the stock price (the underlying) and the warrant strike price. In other cases, the settlement formula may be more complex and introduce leverage or other factors that affect the final settlement amount.\n\nAs an alternative to a notional amount, some instruments may provide for a payment provision that specifies a fixed or determinable settlement to be made if the underlying behaves in a certain way. For example, the instrument may specify that a $1,000,000 payment is to be made in the event that the price of gold increases by $200. In this case, the underlying (the price of gold) alone drives settlement of the contract since there is no notional amount; however, the requirements of ASC 815-10-15-93 are met since movement of the underlying acts as an on-off switch in determining whether or not the payment provision is triggered.",,You have eliminated several areas of GAAP as being not applicable to this freestanding instrument. The next step is to determine if the instrument meets the accounting definition of a derivative. There are three criteria that make up the definition. This is the first. The questions that follow will address the second and third criteria.,,
,,9,13-2,2,1,13,Freestanding Derivative Definition,q,Is there one or more underlyings?,,Yes,13-3,No,13-7,,,,,,13-7,No,,,,,,,,,,,
,,10,13-3,3,1,13,Freestanding Derivative Definition,q,Is there a notional amount?,,Yes,13-4,No,13-5,,,,,,,,,,,,,,,,,,
,,,13-4,4,1,13,Freestanding Derivative Definition,q,Do the underlying (or one of the underlyings) and the notional amount interact to determine the amount of the settlement of the contract? ,,Yes,13-5,No,13-5,,,,,,13-7,No,,,,,,,,,,,
,,11,13-5,5,1,13,Freestanding Derivative Definition,q,Is there a payment provision?,,Yes,13-6,No,13-7,,,,,,,,,,,,,,,,,,
,,,13-6,6,1,13,Freestanding Derivative Definition,q,Is the payment provision triggered by the underlying (or one or more of the underlyings)?,,Yes,13-7,No,13-7,,,,,,13-7,No,,,,,,,,,,,
,,12,13-7,7,1,13,Freestanding Derivative Definition,d,Pass - Meets first condition,,Pass,13-8,Fail,13-8,,,,,,13-48,Fail,and,,,,,,,,,,
,,13,13-8,8,1,13,Freestanding Derivative Definition,q,Is there a low or no initial investment?,,Yes,13-12,No,13-12,Analyze,13-9,,,,13-48,No,,,,,ASC 815-10-15-95: A derivative does not require an initial net investment in the contract that is equal to the notional amount (or the notional amount plus a premium or minus a discount) or that is determined by applying the notional amount to the underlying.,"1) How is the initial net investment amount determined for a contract that is issued with one or more other contracts?\n\nAccounting standards require that the purchase price, or investment amount, that involves multiple instruments be allocated to each instrument based on relative fair value. The purchase or investment amount allocated to each instrument is its initial net investment.","The Codification's definition of a derivative states that a derivative does not require an initial investment that is equal to the notional amount or that is determined by applying the notional amount to the underlying. Most derivative contracts require no investment at all, or require an initial investment that is less than that required to purchase asset or incur the liability related to the underlying to the contract. A warrant, for example, would not be purchased for the price a the underlying shares of stock. In this case, if the initial investment in the warrant is less than the underlying by more than a notional amount (less than 90 - 95% in practice) after adjusting for the time value of money, then ASC 815-10-15-96 is met. This evaluation is not usually difficult in the context of a single, freestanding instrument where you can look at the initial investment and evaluate that relative to the underlying. The analysis becomes more difficult when there are a number of instruments involved in a single transaction, in which case you will need to evaluate the portion allocated to the instrument your are evaluating. So, in the case of a capital raise involving debt and a detachable warrant, the initial investment in the warrant is the amount of the investment proceeds allocated to the warrant. The allocated proceeds should then be compared to the value of the underlying stock to determine if it is less by more than a notional amount. Another example is an interest rate swap contract which, depending on its terms, may have no value at inception or may have one part paying the other party an amount equal to the fair value of the contract at closing. Whatever the amount paid should be compared to the swap notional amount to determine if the initial investment is less by more than a notional amount.\n\nThe point in all of this is that a derivative contract typically exposes a party to the contract to the same (or similar) fluctuations as if the party had invested in an asset or incurred a liability related the underlying. Stock options, as adjusted for time value, are priced less than the the underlying stock yet expose the investor to similar market fluctuations in risk and value.",,This is the second of three questions to determine if the freestanding instrument meets the accounting defintion of a derivative.,,
,,14,13-9,9,1,13,Freestanding Derivative Definition,q,Does the contract require a payment that is equal to the notional amount (plus a premium or minus a discount)?,,Yes,13-10,No,13-10,,,,,,13-11,Yes,,,,,,,,,,,
,,15,13-10,10,1,13,Freestanding Derivative Definition,q,"Is the contract's initial net investment less, by more than a nominal amount, than the initial investment that would be required to either buy the asset related to the underlying or incur the obligation related to the underlying?",,Yes,13-11,No,13-11,,,,,,13-11,No,,,,,,,,,,,
,,16,13-11,11,1,13,Freestanding Derivative Definition,d,Pass - Meets second condition condition,,Pass,13-12,Fail,13-12,,,,,,13-48,Fail,or,,,,,,,,,,
